,mac_addr,slot_id,rl_sinr,rl_mod_code_pt,databus_timestamp,year,month,day
55,00:a0:bc:87:86:c2,52,5.16,rl_qpsk_3_8,1533745135,2018,8,8
56,00:a0:bc:87:86:c2,18,3.62,rl_qpsk_3_8,1533745135,2018,8,8
57,00:a0:bc:87:86:c2,21,5.37,rl_qpsk_3_8,1533745195,2018,8,8
58,00:a0:bc:87:86:c2,18,4.81,rl_qpsk_3_8,1533745195,2018,8,8
59,00:a0:bc:87:86:c2,52,5.98,rl_qpsk_3_8,1533745195,2018,8,8
60,00:a0:bc:87:86:c2,21,5.76,rl_qpsk_3_8,1533745255,2018,8,8
61,00:a0:bc:87:86:c2,52,4.26,rl_qpsk_3_8,1533745255,2018,8,8
62,00:a0:bc:87:86:c2,18,4.26,rl_qpsk_3_8,1533745255,2018,8,8
63,00:a0:bc:87:86:c2,18,4.26,rl_qpsk_3_8,1533745315,2018,8,8
64,00:a0:bc:87:86:c2,52,3.69,rl_qpsk_3_8,1533745315,2018,8,8
65,00:a0:bc:87:86:c2,21,5.76,rl_qpsk_3_8,1533745315,2018,8,8
66,00:a0:bc:87:86:c2,18,3.86,rl_qpsk_3_8,1533745375,2018,8,8
67,00:a0:bc:87:86:c2,21,5.76,rl_qpsk_3_8,1533745375,2018,8,8
68,00:a0:bc:87:86:c2,52,4.9,rl_qpsk_3_8,1533745375,2018,8,8
69,00:a0:bc:87:86:c2,18,4.75,rl_qpsk_3_8,1533745435,2018,8,8
70,00:a0:bc:87:86:c2,52,5.26,rl_qpsk_3_8,1533745435,2018,8,8
71,00:a0:bc:87:86:c2,21,4.98,rl_qpsk_3_8,1533745435,2018,8,8
72,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745495,2018,8,8
73,00:a0:bc:87:86:c2,52,6.02,rl_qpsk_3_8,1533745495,2018,8,8
74,00:a0:bc:87:86:c2,18,4.32,rl_qpsk_3_8,1533745495,2018,8,8
75,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745555,2018,8,8
76,00:a0:bc:87:86:c2,18,4.32,rl_qpsk_3_8,1533745555,2018,8,8
77,00:a0:bc:87:86:c2,52,4.68,rl_qpsk_3_8,1533745555,2018,8,8
78,00:a0:bc:87:86:c2,52,5.19,rl_qpsk_3_8,1533745615,2018,8,8
79,00:a0:bc:87:86:c2,18,4.32,rl_qpsk_3_8,1533745615,2018,8,8
80,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745615,2018,8,8
81,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745675,2018,8,8
82,00:a0:bc:87:86:c2,52,4.14,rl_qpsk_3_8,1533745675,2018,8,8
83,00:a0:bc:87:86:c2,18,4.32,rl_qpsk_3_8,1533745675,2018,8,8
84,00:a0:bc:87:86:c2,21,3.93,rl_qpsk_3_8,1533745735,2018,8,8
85,00:a0:bc:87:86:c2,18,4.83,rl_qpsk_3_8,1533745735,2018,8,8
86,00:a0:bc:87:86:c2,52,5.12,rl_qpsk_3_8,1533745735,2018,8,8
